#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
76,794,7.207018
169,8019,47.242658
219,238,48.156022
210,238,49.311131
617,2892,62.243602
217,198,63.669116
805,704,66.875713
629,750,70.127043
1376,1746,77.814577
614,402,79.560495
1306,1375,85.518631
222,190,86.301385
246,122,86.805068
1021,1023,91.061977
251,120,91.58461
1658,1328,96.343654
1026,883,99.349843
1413,1122,102.948108
1256,2136,109.801875
1082,899,113.496368
1036,889,116.284395
246,138,116.756794
246,136,117.086921
746,1948,123.385625
1299,1565,128.26026
942,2574,138.713721
1323,920,141.593814
633,694,144.536639
1088,2256,153.010603
1312,1234,156.866628
1027,834,159.749462
1889,1334,163.552889
247,136,164.293279
1327,1034,167.688299
1121,1062,170.861337
729,476,172.584481
597,608,174.438128
217,184,174.97555
1309,944,177.888594
602,416,179.519155
242,148,179.856475
611,360,180.889795
605,266,181.620698
607,280,182.534603
243,144,183.098699
621,404,184.494862
728,584,186.052364
1039,810,188.811389
616,390,189.82794
622,356,191.250169
245,146,191.691657
1329,1023,194.784863
1289,1444,199.479433
626,326,200.443501
227,172,200.947126
705,716,203.353356
1322,770,205.630137
1395,1346,210.185188
245,128,210.59276
229,182,211.127063
239,148,211.471106
231,176,212.013657
1032,806,214.522048
618,348,215.701338
249,160,216.527142
1317,1355,221.78885
611,444,223.198474
816,548,225.260196
627,278,226.011412
1013,1163,229.785972
728,584,231.926973
616,396,233.288468
617,388,234.414025
248,128,234.735686
239,156,235.397886
741,542,237.346688
636,376,238.453726
1044,681,240.520927
743,684,242.550338
611,466,244.018743
229,172,244.562098
1408,988,247.769278
619,386,248.99848
752,808,251.424305
2311,2092,258.113338
1041,662,259.988537
739,988,263.229371
1338,771,265.805722
626,296,266.699003
628,366,267.663016
244,150,268.370125
238,148,268.935035
1039,633,270.730424
626,386,272.063434
599,428,273.404379
1035,867,276.074664
1910,910,278.921314
1033,794,281.592452
595,442,282.841873
614,278,283.856628
619,350,284.766822
226,186,285.317229
241,156,285.814073
1038,717,288.427142
247,116,288.696532
237,138,289.124209
648,392,290.239589
1032,984,293.464222
636,396,294.78426
752,510,296.429051
237,154,296.779143
2340,1466,301.459829
237,140,301.779944
234,152,302.239715
1142,792,304.865019
1912,1042,308.35683
229,158,308.832766
1043,718,311.290933
1028,897,314.195539
611,264,314.920413
1033,784,317.212364
734,356,318.451782
239,138,319.094963
1324,725,321.850619
1035,747,323.907067
614,368,325.494208
241,130,326.162647
239,156,326.643362
635,640,328.493886
1316,1242,332.568143
240,126,332.970558
600,404,334.617189
1835,1174,338.418901
632,346,339.57926
604,370,340.809526
241,126,341.218062
628,324,342.302728
1057,475,344.158568
243,140,344.473726
618,398,345.601597
1906,1066,349.113278
248,122,349.41402
1050,580,351.377398
617,310,352.364586
1036,680,354.480859
1311,700,356.708072
621,384,358.037211
1047,564,359.918631
1036,728,362.314651
1431,746,364.515768
1328,906,367.467681
240,150,367.958612
1324,742,370.396594
613,256,371.090612
1043,553,372.8212
244,134,373.407644
249,120,373.706826
753,616,375.574963
635,648,377.929784
635,334,378.807545
760,594,380.681897
626,328,381.658353
1025,948,384.712656
235,138,385.051628
617,314,386.146173
1673,1168,389.881523
755,620,391.897125
247,126,392.208126
247,116,392.719707
1145,860,395.127927
607,378,396.295665
1313,1032,400.265665
237,152,400.882372
624,360,401.927062
