#{"t_start": 1650950672.8170767, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
193,8019,44.084136
266,8019,69.438317
213,206,70.831017
615,1054,74.090859
798,5385,91.511296
698,2906,100.882834
229,222,101.760549
648,386,103.264298
610,294,104.206598
611,774,106.55383
616,482,107.87461
590,542,109.924277
630,388,111.161599
611,558,113.181289
231,168,114.175868
985,1693,119.272812
943,2702,128.625135
1336,947,131.595595
1243,2283,138.953328
622,622,140.920067
676,1640,146.354554
1009,1425,150.909367
217,184,151.485826
785,1172,155.398356
208,226,156.038766
943,2833,165.217081
1009,1257,169.647242
630,418,171.178967
222,180,171.699649
718,988,174.942988
606,458,176.208576
581,534,177.837686
235,168,178.240605
1301,1192,182.05537
801,846,184.804142
1021,1219,188.708568
215,192,189.25986
238,156,189.615084
635,350,190.682101
1031,1011,194.13401
626,430,195.351328
633,686,197.697738
228,210,198.291372
705,920,201.367875
607,440,202.613267
1533,1138,206.129332
229,166,206.680827
1317,1047,210.057402
625,454,211.465749
226,192,212.005139
239,152,212.515802
227,176,212.91274
636,624,215.091108
236,158,215.44855
229,164,215.923868
748,832,218.354723
223,176,219.071009
618,470,220.618384
1011,1132,224.094795
600,470,225.721106
649,378,226.680789
1031,723,228.927258
775,778,231.345124
587,670,233.370888
1042,767,235.688462
614,428,237.402164
739,650,239.506551
1365,1722,244.812284
662,8014,269.204405
626,390,270.631081
636,626,272.353909
744,688,274.584537
232,172,275.270229
616,386,276.506768
628,370,277.453307
618,414,278.898383
1306,974,281.873127
232,162,282.371793
1884,1440,286.848239
1378,1316,290.792809
232,174,291.430944
232,162,292.028715
239,136,292.337887
1411,1086,295.799311
1288,1261,299.629887
624,440,300.851918
606,424,302.351226
613,440,303.654908
1037,874,306.30321
772,584,308.296796
734,684,310.250873
230,162,310.818489
1291,1232,314.855994
222,180,315.393724
692,1112,319.007879
604,474,320.367792
1039,684,322.737732
1832,1242,326.782527
1025,988,329.614618
229,166,330.121293
618,452,331.638734
610,460,333.212495
231,162,333.684801
241,152,334.150602
1043,789,336.559294
1425,836,339.191845
605,436,340.583616
592,426,341.95232
240,148,342.53006
232,164,343.000799
609,418,344.213899
604,332,345.213205
1037,790,347.632578
237,152,348.012565
601,466,349.628508
232,162,350.012622
230,168,350.582099
249,132,351.021422
1041,821,353.940914
231,154,354.415434
583,476,355.907702
615,396,357.108947
1044,770,359.704927
231,168,360.202428
214,186,360.76483
1031,840,363.932842
577,724,367.006617
595,414,368.23021
1312,943,371.222038
1031,969,374.377808
240,142,374.841352
613,448,376.327099
1302,1178,380.144518
204,220,380.847668
1520,1576,385.658439
714,594,387.56364
607,452,389.107279
232,162,389.650648
1042,799,392.071053
240,134,392.480447
1034,836,394.967247
231,164,395.506804
1027,892,398.201207
1022,980,401.315224
230,166,401.87679
606,462,403.373119
1298,1116,407.005627
223,174,407.69678
1030,840,410.25807
1303,942,413.730423
1024,1163,418.005258
1278,1480,422.520397
623,376,423.579754
1025,1129,427.121226
225,176,427.544065
724,630,429.81467
757,604,431.560185
225,172,431.959089
804,794,434.56577
231,164,435.193555
1033,816,437.953143
613,468,439.475924
615,452,441.260151
1010,1172,445.322282
779,584,447.186947
627,394,448.825584
219,180,449.504886
1026,870,452.307375
1312,944,455.520913
1036,669,457.705328
1408,1054,461.776824
230,160,462.353295
615,410,463.806498
1021,1014,466.93154
628,412,468.273524
605,450,470.051394
233,156,470.439356
230,164,470.968892
743,548,472.806479
624,476,474.220721
746,532,476.07035
244,144,476.539603
239,150,476.894652
232,162,477.390187
622,296,478.323658
1034,970,481.511172
624,456,482.862741
1014,1100,486.225788
231,164,486.752378
216,182,487.464755
743,594,489.30882
710,642,491.363874
722,662,493.706382
1526,1401,498.705258
1401,1064,502.423677
223,176,503.076929
732,762,505.740501
725,548,507.501166
1024,1124,511.51052
1119,978,515.057277
609,476,516.952125
618,436,518.742228
240,178,519.268327
221,176,520.000903
226,174,520.746468
234,158,521.412685
629,406,522.944107
215,188,523.679523
621,410,525.28315
223,170,525.904487
1331,946,529.31172
231,162,529.749073
230,162,530.343987
584,458,532.17562
233,138,532.511244
746,776,535.062839
1018,1101,538.671104
616,432,539.923959
625,428,541.183367
610,386,542.528722
1038,895,545.381974
1305,966,548.456095
634,414,549.65684
1313,797,552.340455
624,422,553.590618
223,174,554.290744
591,500,556.074172
1035,772,558.638112
232,162,559.105498
220,186,559.850101
223,170,560.40419
1362,1804,566.700801
609,444,568.475861
991,1694,573.967745
750,794,576.820637
776,720,579.229208
1304,992,582.432726
1128,796,584.921098
229,164,585.323023
230,162,585.866539
234,160,586.560287
243,154,587.041002
224,176,587.578901
218,178,588.11582
611,438,589.434469
1035,806,592.339717
230,160,592.934125
231,160,593.383923
1318,996,596.921897
609,422,598.498596
1025,898,601.808822
756,672,604.126002
230,160,604.815161
750,704,607.35188
232,174,608.07694
810,676,610.357876
213,186,610.997128
1320,906,614.102778
1286,1361,618.899014
737,676,620.987994
583,488,622.551016
1046,704,624.789838
1031,876,627.541693
600,422,628.990028
224,172,629.505868
1036,824,632.122595
230,162,632.624007
1309,888,635.282017
613,436,636.559186
1536,1146,640.362983
1060,703,643.32105
1045,726,645.704247
1031,1013,648.773069
773,1134,652.710953
714,684,654.931285
593,442,656.518677
243,146,657.068205
612,452,658.820705
614,426,660.247177
584,490,661.831237
232,162,662.411919
1388,1350,667.114556
1320,1024,670.633116
773,688,673.230109
1292,1067,676.703197
1054,790,679.172685
1043,666,681.142233
214,168,681.780527
232,168,682.303129
587,502,683.917051
231,160,684.477551
608,414,685.950118
627,398,687.264735
606,446,688.821938
1303,912,691.538224
635,628,693.650593
626,436,694.989528
225,172,695.639069
1018,1052,699.266958
233,162,699.767584
239,142,700.253932
614,436,701.600225
1036,684,703.95275
1528,1255,708.135693
607,474,709.440132
773,634,711.546592
592,448,713.025135
230,160,713.45698
628,370,714.687651
636,386,716.190184
233,158,716.701992
231,164,717.233599
581,518,719.122707
231,160,719.567516
625,374,720.836416
232,164,721.47483
232,162,721.99616
594,472,723.515236
613,446,724.869145
1031,849,727.634611
240,134,727.991655
236,154,728.533198
609,406,729.894694
715,564,731.894238
606,434,733.320155
1049,657,735.484413
243,142,736.008521
231,160,736.580158
1315,852,739.566152
230,160,740.129598
627,410,741.482965
1035,933,744.744925
618,410,746.087527
627,398,747.416925
616,430,748.827576
607,436,750.25909
1139,960,753.579221
1039,786,756.21235
230,160,756.773836
239,160,757.32935
2324,1838,763.551893
1022,927,766.66593
1029,832,769.596726
1022,968,772.819518
228,162,773.399099
1038,762,775.989822
599,418,777.38263
230,162,777.954102
626,428,779.47965
1047,660,781.667098
1079,944,785.044711
1126,886,788.200903
1308,938,791.248457
651,330,792.482125
621,398,793.762941
235,158,794.245684
626,392,795.545889
224,146,795.884408
1028,1090,799.716678
233,160,800.27678
617,442,801.697065
600,430,803.105336
231,160,803.660616
229,162,804.223616
225,174,804.831095
806,756,807.456131
242,134,807.946884
1027,874,810.810568
